Ceremony,Date
1,"May 16, 1929"
2,"April 03, 1930"
3,"November 05, 1930"
4,"November 10, 1931"
5,"November 18, 1932"
6,"March 16, 1934"
7,"February 27, 1935"
8,"March 05, 1936"
9,"March 04, 1937"
10,"March 10, 1938"
11,"February 23, 1939"
12,"February 29, 1940"
13,"February 27, 1941"
14,"February 26, 1942"
15,"March 04, 1943"
16,"March 02, 1944"
17,"March 15, 1945"
18,"March 07, 1946"
19,"March 13, 1947"
20,"March 20, 1948"
21,"March 24, 1949"
22,"March 23, 1950"
23,"March 29, 1951"
24,"March 20, 1952"
25,"March 19, 1953"
26,"March 25, 1954"
27,"March 30, 1955"
28,"March 21, 1956"
29,"March 27, 1957"
30,"March 26, 1958"
31,"April 06, 1959"
32,"April 04, 1960"
33,"April 17, 1961"
34,"April 09, 1962"
35,"April 08, 1963"
36,"April 13, 1964"
37,"April 05, 1965"
38,"April 18, 1966"
39,"April 10, 1967"
40,"April 10, 1968"
41,"April 14, 1969"
42,"April 07, 1970"
43,"April 15, 1971"
44,"April 10, 1972"
45,"March 27, 1973"
46,"April 02, 1974"
47,"April 08, 1975"
48,"March 29, 1976"
49,"March 28, 1977"
50,"April 03, 1978"
51,"April 09, 1979"
52,"April 14, 1980"
53,"March 31, 1981"
54,"March 29, 1982"
55,"April 11, 1983"
56,"April 09, 1984"
57,"March 25, 1985"
58,"March 24, 1986"
59,"March 30, 1987"
60,"April 11, 1988"
61,"March 29, 1989"
62,"March 26, 1990"
63,"March 25, 1991"
64,"March 30, 1992"
65,"March 29, 1993"
66,"March 21, 1994"
67,"March 27, 1995"
68,"March 25, 1996"
69,"March 24, 1997"
70,"March 23, 1998"
71,"March 21, 1999"
72,"March 26, 2000"
73,"March 25, 2001"
74,"March 24, 2002"
75,"March 23, 2003"
76,"February 29, 2004"
77,"February 27, 2005"
78,"March 05, 2006"
79,"February 25, 2007"
80,"February 24, 2008"
81,"February 22, 2009"
82,"March 07, 2010"
83,"February 27, 2011"
84,"February 26, 2012"
85,"February 24, 2013"
86,"March 02, 2014"
87,"February 22, 2015"
88,"February 28, 2016"
89,"February 26, 2017"
90,"March 04, 2018"
91,"February 24, 2019"
